LocationID,Borough,Zone,service_zone,Borough_ID
1,EWR,Newark Airport,EWR,3
2,Queens,Jamaica Bay,Boro Zone,5
3,Bronx,Allerton/Pelham Gardens,Boro Zone,1
4,Manhattan,Alphabet City,Yellow Zone,4
5,Staten Island,Arden Heights,Boro Zone,6
6,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,6
7,Queens,Astoria,Boro Zone,5
8,Queens,Astoria Park,Boro Zone,5
9,Queens,Auburndale,Boro Zone,5
10,Queens,Baisley Park,Boro Zone,5
11,Brooklyn,Bath Beach,Boro Zone,2
12,Manhattan,Battery Park,Yellow Zone,4
13,Manhattan,Battery Park City,Yellow Zone,4
14,Brooklyn,Bay Ridge,Boro Zone,2
15,Queens,Bay Terrace/Fort Totten,Boro Zone,5
16,Queens,Bayside,Boro Zone,5
17,Brooklyn,Bedford,Boro Zone,2
18,Bronx,Bedford Park,Boro Zone,1
19,Queens,Bellerose,Boro Zone,5
20,Bronx,Belmont,Boro Zone,1
21,Brooklyn,Bensonhurst East,Boro Zone,2
22,Brooklyn,Bensonhurst West,Boro Zone,2
23,Staten Island,Bloomfield/Emerson Hill,Boro Zone,6
24,Manhattan,Bloomingdale,Yellow Zone,4
25,Brooklyn,Boerum Hill,Boro Zone,2
26,Brooklyn,Borough Park,Boro Zone,2
27,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,5
28,Queens,Briarwood/Jamaica Hills,Boro Zone,5
29,Brooklyn,Brighton Beach,Boro Zone,2
30,Queens,Broad Channel,Boro Zone,5
31,Bronx,Bronx Park,Boro Zone,1
32,Bronx,Bronxdale,Boro Zone,1
33,Brooklyn,Brooklyn Heights,Boro Zone,2
34,Brooklyn,Brooklyn Navy Yard,Boro Zone,2
35,Brooklyn,Brownsville,Boro Zone,2
36,Brooklyn,Bushwick North,Boro Zone,2
37,Brooklyn,Bushwick South,Boro Zone,2
38,Queens,Cambria Heights,Boro Zone,5
39,Brooklyn,Canarsie,Boro Zone,2
40,Brooklyn,Carroll Gardens,Boro Zone,2
41,Manhattan,Central Harlem,Boro Zone,4
42,Manhattan,Central Harlem North,Boro Zone,4
43,Manhattan,Central Park,Yellow Zone,4
44,Staten Island,Charleston/Tottenville,Boro Zone,6
45,Manhattan,Chinatown,Yellow Zone,4
46,Bronx,City Island,Boro Zone,1
47,Bronx,Claremont/Bathgate,Boro Zone,1
48,Manhattan,Clinton East,Yellow Zone,4
49,Brooklyn,Clinton Hill,Boro Zone,2
50,Manhattan,Clinton West,Yellow Zone,4
51,Bronx,Co-Op City,Boro Zone,1
52,Brooklyn,Cobble Hill,Boro Zone,2
53,Queens,College Point,Boro Zone,5
54,Brooklyn,Columbia Street,Boro Zone,2
55,Brooklyn,Coney Island,Boro Zone,2
56,Queens,Corona,Boro Zone,5
57,Queens,Corona,Boro Zone,5
58,Bronx,Country Club,Boro Zone,1
59,Bronx,Crotona Park,Boro Zone,1
60,Bronx,Crotona Park East,Boro Zone,1
61,Brooklyn,Crown Heights North,Boro Zone,2
62,Brooklyn,Crown Heights South,Boro Zone,2
63,Brooklyn,Cypress Hills,Boro Zone,2
64,Queens,Douglaston,Boro Zone,5
65,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone,2
66,Brooklyn,DUMBO/Vinegar Hill,Boro Zone,2
67,Brooklyn,Dyker Heights,Boro Zone,2
68,Manhattan,East Chelsea,Yellow Zone,4
69,Bronx,East Concourse/Concourse Village,Boro Zone,1
70,Queens,East Elmhurst,Boro Zone,5
71,Brooklyn,East Flatbush/Farragut,Boro Zone,2
72,Brooklyn,East Flatbush/Remsen Village,Boro Zone,2
73,Queens,East Flushing,Boro Zone,5
74,Manhattan,East Harlem North,Boro Zone,4
75,Manhattan,East Harlem South,Boro Zone,4
76,Brooklyn,East New York,Boro Zone,2
77,Brooklyn,East New York/Pennsylvania Avenue,Boro Zone,2
78,Bronx,East Tremont,Boro Zone,1
79,Manhattan,East Village,Yellow Zone,4
80,Brooklyn,East Williamsburg,Boro Zone,2
81,Bronx,Eastchester,Boro Zone,1
82,Queens,Elmhurst,Boro Zone,5
83,Queens,Elmhurst/Maspeth,Boro Zone,5
84,Staten Island,Eltingville/Annadale/Prince's Bay,Boro Zone,6
85,Brooklyn,Erasmus,Boro Zone,2
86,Queens,Far Rockaway,Boro Zone,5
87,Manhattan,Financial District North,Yellow Zone,4
88,Manhattan,Financial District South,Yellow Zone,4
89,Brooklyn,Flatbush/Ditmas Park,Boro Zone,2
90,Manhattan,Flatiron,Yellow Zone,4
91,Brooklyn,Flatlands,Boro Zone,2
92,Queens,Flushing,Boro Zone,5
93,Queens,Flushing Meadows-Corona Park,Boro Zone,5
94,Bronx,Fordham South,Boro Zone,1
95,Queens,Forest Hills,Boro Zone,5
96,Queens,Forest Park/Highland Park,Boro Zone,5
97,Brooklyn,Fort Greene,Boro Zone,2
98,Queens,Fresh Meadows,Boro Zone,5
99,Staten Island,Freshkills Park,Boro Zone,6
100,Manhattan,Garment District,Yellow Zone,4
101,Queens,Glen Oaks,Boro Zone,5
102,Queens,Glendale,Boro Zone,5
103,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,4
104,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,4
105,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,4
106,Brooklyn,Gowanus,Boro Zone,2
107,Manhattan,Gramercy,Yellow Zone,4
108,Brooklyn,Gravesend,Boro Zone,2
109,Staten Island,Great Kills,Boro Zone,6
110,Staten Island,Great Kills Park,Boro Zone,6
111,Brooklyn,Green-Wood Cemetery,Boro Zone,2
112,Brooklyn,Greenpoint,Boro Zone,2
113,Manhattan,Greenwich Village North,Yellow Zone,4
114,Manhattan,Greenwich Village South,Yellow Zone,4
115,Staten Island,Grymes Hill/Clifton,Boro Zone,6
116,Manhattan,Hamilton Heights,Boro Zone,4
117,Queens,Hammels/Arverne,Boro Zone,5
118,Staten Island,Heartland Village/Todt Hill,Boro Zone,6
119,Bronx,Highbridge,Boro Zone,1
120,Manhattan,Highbridge Park,Boro Zone,4
121,Queens,Hillcrest/Pomonok,Boro Zone,5
122,Queens,Hollis,Boro Zone,5
123,Brooklyn,Homecrest,Boro Zone,2
124,Queens,Howard Beach,Boro Zone,5
125,Manhattan,Hudson Sq,Yellow Zone,4
126,Bronx,Hunts Point,Boro Zone,1
127,Manhattan,Inwood,Boro Zone,4
128,Manhattan,Inwood Hill Park,Boro Zone,4
129,Queens,Jackson Heights,Boro Zone,5
130,Queens,Jamaica,Boro Zone,5
131,Queens,Jamaica Estates,Boro Zone,5
132,Queens,JFK Airport,Airports,5
133,Brooklyn,Kensington,Boro Zone,2
134,Queens,Kew Gardens,Boro Zone,5
135,Queens,Kew Gardens Hills,Boro Zone,5
136,Bronx,Kingsbridge Heights,Boro Zone,1
137,Manhattan,Kips Bay,Yellow Zone,4
138,Queens,LaGuardia Airport,Airports,5
139,Queens,Laurelton,Boro Zone,5
140,Manhattan,Lenox Hill East,Yellow Zone,4
141,Manhattan,Lenox Hill West,Yellow Zone,4
142,Manhattan,Lincoln Square East,Yellow Zone,4
143,Manhattan,Lincoln Square West,Yellow Zone,4
144,Manhattan,Little Italy/NoLiTa,Yellow Zone,4
145,Queens,Long Island City/Hunters Point,Boro Zone,5
146,Queens,Long Island City/Queens Plaza,Boro Zone,5
147,Bronx,Longwood,Boro Zone,1
148,Manhattan,Lower East Side,Yellow Zone,4
149,Brooklyn,Madison,Boro Zone,2
150,Brooklyn,Manhattan Beach,Boro Zone,2
151,Manhattan,Manhattan Valley,Yellow Zone,4
152,Manhattan,Manhattanville,Boro Zone,4
153,Manhattan,Marble Hill,Boro Zone,4
154,Brooklyn,Marine Park/Floyd Bennett Field,Boro Zone,2
155,Brooklyn,Marine Park/Mill Basin,Boro Zone,2
156,Staten Island,Mariners Harbor,Boro Zone,6
157,Queens,Maspeth,Boro Zone,5
158,Manhattan,Meatpacking/West Village West,Yellow Zone,4
159,Bronx,Melrose South,Boro Zone,1
160,Queens,Middle Village,Boro Zone,5
161,Manhattan,Midtown Center,Yellow Zone,4
162,Manhattan,Midtown East,Yellow Zone,4
163,Manhattan,Midtown North,Yellow Zone,4
164,Manhattan,Midtown South,Yellow Zone,4
165,Brooklyn,Midwood,Boro Zone,2
166,Manhattan,Morningside Heights,Boro Zone,4
167,Bronx,Morrisania/Melrose,Boro Zone,1
168,Bronx,Mott Haven/Port Morris,Boro Zone,1
169,Bronx,Mount Hope,Boro Zone,1
170,Manhattan,Murray Hill,Yellow Zone,4
171,Queens,Murray Hill-Queens,Boro Zone,5
172,Staten Island,New Dorp/Midland Beach,Boro Zone,6
173,Queens,North Corona,Boro Zone,5
174,Bronx,Norwood,Boro Zone,1
175,Queens,Oakland Gardens,Boro Zone,5
176,Staten Island,Oakwood,Boro Zone,6
177,Brooklyn,Ocean Hill,Boro Zone,2
178,Brooklyn,Ocean Parkway South,Boro Zone,2
179,Queens,Old Astoria,Boro Zone,5
180,Queens,Ozone Park,Boro Zone,5
181,Brooklyn,Park Slope,Boro Zone,2
182,Bronx,Parkchester,Boro Zone,1
183,Bronx,Pelham Bay,Boro Zone,1
184,Bronx,Pelham Bay Park,Boro Zone,1
185,Bronx,Pelham Parkway,Boro Zone,1
186,Manhattan,Penn Station/Madison Sq West,Yellow Zone,4
187,Staten Island,Port Richmond,Boro Zone,6
188,Brooklyn,Prospect-Lefferts Gardens,Boro Zone,2
189,Brooklyn,Prospect Heights,Boro Zone,2
190,Brooklyn,Prospect Park,Boro Zone,2
191,Queens,Queens Village,Boro Zone,5
192,Queens,Queensboro Hill,Boro Zone,5
193,Queens,Queensbridge/Ravenswood,Boro Zone,5
194,Manhattan,Randalls Island,Yellow Zone,4
195,Brooklyn,Red Hook,Boro Zone,2
196,Queens,Rego Park,Boro Zone,5
197,Queens,Richmond Hill,Boro Zone,5
198,Queens,Ridgewood,Boro Zone,5
199,Bronx,Rikers Island,Boro Zone,1
200,Bronx,Riverdale/North Riverdale/Fieldston,Boro Zone,1
201,Queens,Rockaway Park,Boro Zone,5
202,Manhattan,Roosevelt Island,Boro Zone,4
203,Queens,Rosedale,Boro Zone,5
204,Staten Island,Rossville/Woodrow,Boro Zone,6
205,Queens,Saint Albans,Boro Zone,5
206,Staten Island,Saint George/New Brighton,Boro Zone,6
207,Queens,Saint Michaels Cemetery/Woodside,Boro Zone,5
208,Bronx,Schuylerville/Edgewater Park,Boro Zone,1
209,Manhattan,Seaport,Yellow Zone,4
210,Brooklyn,Sheepshead Bay,Boro Zone,2
211,Manhattan,SoHo,Yellow Zone,4
212,Bronx,Soundview/Bruckner,Boro Zone,1
213,Bronx,Soundview/Castle Hill,Boro Zone,1
214,Staten Island,South Beach/Dongan Hills,Boro Zone,6
215,Queens,South Jamaica,Boro Zone,5
216,Queens,South Ozone Park,Boro Zone,5
217,Brooklyn,South Williamsburg,Boro Zone,2
218,Queens,Springfield Gardens North,Boro Zone,5
219,Queens,Springfield Gardens South,Boro Zone,5
220,Bronx,Spuyten Duyvil/Kingsbridge,Boro Zone,1
221,Staten Island,Stapleton,Boro Zone,6
222,Brooklyn,Starrett City,Boro Zone,2
223,Queens,Steinway,Boro Zone,5
224,Manhattan,Stuy Town/Peter Cooper Village,Yellow Zone,4
225,Brooklyn,Stuyvesant Heights,Boro Zone,2
226,Queens,Sunnyside,Boro Zone,5
227,Brooklyn,Sunset Park East,Boro Zone,2
228,Brooklyn,Sunset Park West,Boro Zone,2
229,Manhattan,Sutton Place/Turtle Bay North,Yellow Zone,4
230,Manhattan,Times Sq/Theatre District,Yellow Zone,4
231,Manhattan,TriBeCa/Civic Center,Yellow Zone,4
232,Manhattan,Two Bridges/Seward Park,Yellow Zone,4
233,Manhattan,UN/Turtle Bay South,Yellow Zone,4
234,Manhattan,Union Sq,Yellow Zone,4
235,Bronx,University Heights/Morris Heights,Boro Zone,1
236,Manhattan,Upper East Side North,Yellow Zone,4
237,Manhattan,Upper East Side South,Yellow Zone,4
238,Manhattan,Upper West Side North,Yellow Zone,4
239,Manhattan,Upper West Side South,Yellow Zone,4
240,Bronx,Van Cortlandt Park,Boro Zone,1
241,Bronx,Van Cortlandt Village,Boro Zone,1
242,Bronx,Van Nest/Morris Park,Boro Zone,1
243,Manhattan,Washington Heights North,Boro Zone,4
244,Manhattan,Washington Heights South,Boro Zone,4
245,Staten Island,West Brighton,Boro Zone,6
246,Manhattan,West Chelsea/Hudson Yards,Yellow Zone,4
247,Bronx,West Concourse,Boro Zone,1
248,Bronx,West Farms/Bronx River,Boro Zone,1
249,Manhattan,West Village,Yellow Zone,4
250,Bronx,Westchester Village/Unionport,Boro Zone,1
251,Staten Island,Westerleigh,Boro Zone,6
252,Queens,Whitestone,Boro Zone,5
253,Queens,Willets Point,Boro Zone,5
254,Bronx,Williamsbridge/Olinville,Boro Zone,1
255,Brooklyn,Williamsburg (North Side),Boro Zone,2
256,Brooklyn,Williamsburg (South Side),Boro Zone,2
257,Brooklyn,Windsor Terrace,Boro Zone,2
258,Queens,Woodhaven,Boro Zone,5
259,Bronx,Woodlawn/Wakefield,Boro Zone,1
260,Queens,Woodside,Boro Zone,5
261,Manhattan,World Trade Center,Yellow Zone,4
262,Manhattan,Yorkville East,Yellow Zone,4
263,Manhattan,Yorkville West,Yellow Zone,4